hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,average_daily_rate,required_car_parking_spaces,total_of_special_requests,arrival_date
Resort_Hotel,342,0,0,2,none,BB,PRT,Direct,Direct,0,0,0,C,C,3,No_Deposit,NULL,NULL,0,Transient,0,none,0,2015-07-01
Resort_Hotel,737,0,0,2,none,BB,PRT,Direct,Direct,0,0,0,C,C,4,No_Deposit,NULL,NULL,0,Transient,0,none,0,2015-07-01
Resort_Hotel,7,0,1,1,none,BB,GBR,Direct,Direct,0,0,0,A,C,0,No_Deposit,NULL,NULL,0,Transient,75,none,0,2015-07-01
Resort_Hotel,13,0,1,1,none,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No_Deposit,304,NULL,0,Transient,75,none,0,2015-07-01
Resort_Hotel,14,0,2,2,none,BB,GBR,Online_TA,TA/TO,0,0,0,A,A,0,No_Deposit,240,NULL,0,Transient,98,none,1,2015-07-01
Resort_Hotel,0,0,2,2,none,BB,PRT,Direct,Direct,0,0,0,C,C,0,No_Deposit,NULL,NULL,0,Transient,107,none,0,2015-07-01
Resort_Hotel,9,0,2,2,none,FB,PRT,Direct,Direct,0,0,0,C,C,0,No_Deposit,303,NULL,0,Transient,103,none,1,2015-07-01
Resort_Hotel,35,0,4,2,none,HB,PRT,Online_TA,TA/TO,0,0,0,D,D,0,No_Deposit,240,NULL,0,Transient,145,none,0,2015-07-01
Resort_Hotel,37,0,4,2,none,BB,PRT,Online_TA,TA/TO,0,0,0,E,E,0,No_Deposit,241,NULL,0,Transient,94.71,none,0,2015-07-01
Resort_Hotel,12,0,1,2,none,BB,IRL,Online_TA,TA/TO,0,0,0,A,E,0,No_Deposit,240,NULL,0,Transient,88.2,none,0,2015-07-01
Resort_Hotel,7,0,4,2,none,BB,GBR,Direct,Direct,0,0,0,G,G,0,No_Deposit,250,NULL,0,Transient,153,none,1,2015-07-01
Resort_Hotel,37,1,4,1,none,BB,GBR,Online_TA,TA/TO,0,0,0,F,F,0,No_Deposit,241,NULL,0,Transient,97.29,none,1,2015-07-01
Resort_Hotel,72,2,4,2,none,BB,PRT,Direct,Direct,0,0,0,A,A,1,No_Deposit,250,NULL,0,Transient,84.67,none,1,2015-07-01
